blackpeopletwitter,formula1,3
blackpeopletwitter,formula1,14
blackpeopletwitter,blackpeopletwitter,10370
blackpeopletwitter,formula1,2571
blackpeopletwitter,formula1,65
blackpeopletwitter,formula1,10
blackpeopletwitter,formula1,37
blackpeopletwitter,blackpeopletwitter,8
formula1,blackpeopletwitter,10
blackpeopletwitter,formula1,215
blackpeopletwitter,formula1,14
blackpeopletwitter,blackpeopletwitter,13
blackpeopletwitter,blackpeopletwitter,2
blackpeopletwitter,blackpeopletwitter,3
formula1,formula1,5
blackpeopletwitter,blackpeopletwitter,3
blackpeopletwitter,blackpeopletwitter,352
blackpeopletwitter,formula1,16
blackpeopletwitter,formula1,166
blackpeopletwitter,blackpeopletwitter,3
blackpeopletwitter,formula1,2
blackpeopletwitter,formula1,3
blackpeopletwitter,formula1,70
blackpeopletwitter,blackpeopletwitter,6
blackpeopletwitter,blackpeopletwitter,30
blackpeopletwitter,formula1,1
blackpeopletwitter,formula1,169
blackpeopletwitter,formula1,63
blackpeopletwitter,formula1,301
formula1,formula1,4613
blackpeopletwitter,formula1,2
blackpeopletwitter,formula1,25
formula1,formula1,36
blackpeopletwitter,formula1,5
blackpeopletwitter,formula1,1101
blackpeopletwitter,formula1,26
blackpeopletwitter,blackpeopletwitter,3
formula1,formula1,26
blackpeopletwitter,blackpeopletwitter,26
formula1,formula1,12
blackpeopletwitter,blackpeopletwitter,27
blackpeopletwitter,blackpeopletwitter,12
blackpeopletwitter,formula1,13
blackpeopletwitter,blackpeopletwitter,32
blackpeopletwitter,formula1,2
blackpeopletwitter,formula1,23
blackpeopletwitter,blackpeopletwitter,340
blackpeopletwitter,formula1,2
blackpeopletwitter,blackpeopletwitter,5
formula1,formula1,8
formula1,blackpeopletwitter,2
formula1,formula1,75
formula1,formula1,3
blackpeopletwitter,formula1,4
blackpeopletwitter,blackpeopletwitter,2
blackpeopletwitter,formula1,10
blackpeopletwitter,formula1,26
blackpeopletwitter,formula1,143
blackpeopletwitter,formula1,3
blackpeopletwitter,blackpeopletwitter,3
blackpeopletwitter,blackpeopletwitter,8
blackpeopletwitter,formula1,13
blackpeopletwitter,blackpeopletwitter,14
blackpeopletwitter,blackpeopletwitter,-7
blackpeopletwitter,formula1,36
blackpeopletwitter,formula1,5
blackpeopletwitter,formula1,6
blackpeopletwitter,formula1,2
blackpeopletwitter,blackpeopletwitter,318
blackpeopletwitter,formula1,10
blackpeopletwitter,formula1,3
blackpeopletwitter,formula1,3
blackpeopletwitter,formula1,46
blackpeopletwitter,formula1,211
blackpeopletwitter,blackpeopletwitter,4
formula1,blackpeopletwitter,20
blackpeopletwitter,blackpeopletwitter,4
blackpeopletwitter,formula1,39
blackpeopletwitter,formula1,3
blackpeopletwitter,formula1,1
blackpeopletwitter,formula1,59
blackpeopletwitter,formula1,8
blackpeopletwitter,formula1,6
blackpeopletwitter,formula1,10
blackpeopletwitter,blackpeopletwitter,2
blackpeopletwitter,blackpeopletwitter,7
blackpeopletwitter,formula1,56
blackpeopletwitter,blackpeopletwitter,2
blackpeopletwitter,blackpeopletwitter,12
blackpeopletwitter,blackpeopletwitter,5
blackpeopletwitter,formula1,3
blackpeopletwitter,blackpeopletwitter,14
blackpeopletwitter,blackpeopletwitter,7
blackpeopletwitter,formula1,1
blackpeopletwitter,formula1,72
blackpeopletwitter,formula1,4
blackpeopletwitter,blackpeopletwitter,36
blackpeopletwitter,blackpeopletwitter,11
blackpeopletwitter,blackpeopletwitter,-42
blackpeopletwitter,formula1,3
blackpeopletwitter,formula1,3
blackpeopletwitter,formula1,4
blackpeopletwitter,formula1,444
blackpeopletwitter,blackpeopletwitter,251
blackpeopletwitter,formula1,5
blackpeopletwitter,formula1,10
blackpeopletwitter,formula1,33
blackpeopletwitter,blackpeopletwitter,2
blackpeopletwitter,formula1,260
blackpeopletwitter,formula1,3
blackpeopletwitter,blackpeopletwitter,73
blackpeopletwitter,formula1,8
blackpeopletwitter,formula1,46
blackpeopletwitter,blackpeopletwitter,3
blackpeopletwitter,formula1,1
blackpeopletwitter,formula1,2
blackpeopletwitter,formula1,12
blackpeopletwitter,blackpeopletwitter,244
blackpeopletwitter,formula1,3
blackpeopletwitter,blackpeopletwitter,165
blackpeopletwitter,formula1,96
blackpeopletwitter,blackpeopletwitter,0
blackpeopletwitter,blackpeopletwitter,3
blackpeopletwitter,blackpeopletwitter,8
blackpeopletwitter,formula1,2
blackpeopletwitter,blackpeopletwitter,4
