10,"[('driver', 0.057676106691360474), ('car', 0.04840105399489403), ('point', 0.03006417118012905), ('race', 0.026396796107292175), ('better', 0.02324114553630352), ('year', 0.019509803503751755), ('good', 0.01609829068183899), ('top', 0.015160124748945236), ('season', 0.013369079679250717), ('best', 0.011961830779910088), ('people', 0.010085498914122581), ('even', 0.009893600828945637), ('great', 0.00968038197606802), ('beat', 0.009573771618306637), ('teammate', 0.009488483890891075), ('bad', 0.009360551834106445), ('zhou', 0.009296586737036705), ('look', 0.00923262070864439), ('pace', 0.00897675659507513), ('driving', 0.008081234991550446), ('lot', 0.007868015207350254), ('drive', 0.0078040496446192265), ('grid', 0.007569507695734501), ('much', 0.007548185996711254), ('stroll', 0.007548185996711254), ('talent', 0.007271000649780035), ('well', 0.007249678485095501), ('mean', 0.006652663927525282), ('finished', 0.006631341762840748), ('average', 0.006610020063817501), ('every', 0.006588697899132967), ('last', 0.006524731870740652), ('level', 0.006503410171717405), ('also', 0.006332834251224995), ('like', 0.006268868688493967), ('second', 0.005586565937846899), ('luck', 0.005543922074139118), ('close', 0.005479956045746803), ('think', 0.005394667852669954), ('impressive', 0.005160126369446516)]"
11,"[('f1', 0.061820827424526215), ('team', 0.04917820543050766), ('andretti', 0.04028550907969475), ('nascar', 0.030535688623785973), ('american', 0.028767865151166916), ('racing', 0.028446441516280174), ('car', 0.022928686812520027), ('fan', 0.016125239431858063), ('race', 0.014893119223415852), ('want', 0.014196704141795635), ('kimi', 0.013875281438231468), ('indycar', 0.013821710832417011), ('u', 0.012750301510095596), ('sport', 0.011411040090024471), ('indy', 0.011036046780645847), ('top', 0.010607482865452766), ('series', 0.010553913190960884), ('win', 0.008625376969575882), ('see', 0.0077682496048510075), ('sponsor', 0.006857552099972963), ('would', 0.0063218483701348305), ('like', 0.0063218483701348305), ('make', 0.006214707158505917), ('america', 0.0060004256665706635), ('world', 0.00589328445494175), ('field', 0.00589328445494175), ('best', 0.005786143708974123), ('10', 0.005786143708974123), ('join', 0.00557186221703887), ('grid', 0.005464721005409956), ('great', 0.0049825869500637054), ('care', 0.004768305458128452), ('run', 0.004714734852313995), ('haas', 0.004607594106346369), ('european', 0.004607594106346369), ('getting', 0.004554023500531912), ('new', 0.004339742008596659), ('30', 0.004286171402782202), ('mean', 0.004232600796967745), ('guy', 0.004071889445185661)]"
12,"[('bike', 0.08303393423557281), ('helmet', 0.03828494995832443), ('ride', 0.025351719930768013), ('wear', 0.021730415523052216), ('gear', 0.018109111115336418), ('motorcycle', 0.015005134046077728), ('road', 0.012418488040566444), ('riding', 0.012418488040566444), ('rider', 0.011901158839464188), ('accident', 0.01164249423891306), ('wearing', 0.011125165037810802), ('need', 0.011125165037810802), ('netherlands', 0.011125165037810802), ('r1', 0.011125165037810802), ('risk', 0.010866500437259674), ('injury', 0.010866500437259674), ('covid', 0.010866500437259674), ('vaccine', 0.010607835836708546), ('cycling', 0.00983184203505516), ('head', 0.009314512833952904), ('people', 0.009314512833952904), ('bicycle', 0.00827985443174839), ('dutch', 0.007762525230646133), ('cyclist', 0.007503860630095005), ('safe', 0.006986531428992748), ('without', 0.00672786682844162), ('safety', 0.00672786682844162), ('take', 0.0064692022278904915), ('protection', 0.0064692022278904915), ('shifting', 0.005951873026788235), ('even', 0.005693208426237106), ('protective', 0.005693208426237106), ('hit', 0.0051758792251348495), ('pant', 0.004917214624583721), ('least', 0.004658550024032593), ('edema', 0.004399885423481464), ('cycle', 0.004399885423481464), ('small', 0.004399885423481464), ('boot', 0.004399885423481464), ('team', 0.004141220357269049)]"
13,"[('car', 0.054945435374975204), ('safety', 0.04235219210386276), ('race', 0.04070785269141197), ('flag', 0.03517324477434158), ('red', 0.03380964323878288), ('sc', 0.02879641205072403), ('lap', 0.027753658592700958), ('rule', 0.02655048295855522), ('track', 0.01596253551542759), ('would', 0.014839570969343185), ('end', 0.01203216053545475), ('abu', 0.011911842972040176), ('finish', 0.011430572718381882), ('dhabi', 0.011430572718381882), ('yellow', 0.010427925735712051), ('racing', 0.009345066733658314), ('last', 0.008863796480000019), ('sport', 0.00709913857281208), ('fia', 0.006858503445982933), ('entertainment', 0.006698079872876406), ('people', 0.006297021638602018), ('green', 0.006056386046111584), ('masi', 0.006016280502080917), ('ending', 0.00577564537525177), ('change', 0.005735539365559816), ('time', 0.005695433355867863), ('vsc', 0.005695433355867863), ('long', 0.005615221802145243), ('restart', 0.005454798229038715), ('need', 0.005414692685008049), ('go', 0.005414692685008049), ('behind', 0.005374586675316095), ('way', 0.005214163102209568), ('leader', 0.004973528441041708), ('take', 0.004772998858243227), ('get', 0.004732892848551273), ('situation', 0.004732892848551273), ('happened', 0.004692787304520607), ('today', 0.004652681294828653), ('lapped', 0.004371940158307552)]"
14,"[('driver', 0.03949274495244026), ('point', 0.022584984079003334), ('incident', 0.02191355638206005), ('fault', 0.020082391798496246), ('would', 0.018434341996908188), ('think', 0.015016165561974049), ('one', 0.014283699914813042), ('see', 0.014283699914813042), ('could', 0.014222661033272743), ('max', 0.013673311099410057), ('mistake', 0.012635651044547558), ('hamilton', 0.012330456636846066), ('racing', 0.01214733999222517), ('race', 0.011903184466063976), ('dangerous', 0.011475913226604462), ('lap', 0.011048641055822372), ('line', 0.010010981000959873), ('hit', 0.009888903237879276), ('penalty', 0.009705786593258381), ('corner', 0.009217475540935993), ('enough', 0.008851242251694202), ('got', 0.008118776604533195), ('always', 0.007996698841452599), ('almost', 0.007691504899412394), ('like', 0.007630466017872095), ('even', 0.0075083887204527855), ('thing', 0.007264233194291592), ('get', 0.006836961023509502), ('know', 0.006836961023509502), ('way', 0.006226572673767805), ('damage', 0.005799300968647003), ('excuse', 0.005677223205566406), ('space', 0.005555145442485809), ('case', 0.005494106560945511), ('track', 0.005494106560945511), ('turn', 0.005372028797864914), ('last', 0.005372028797864914), ('first', 0.0051889121532440186), ('accident', 0.005066834855824709), ('say', 0.0050057959742844105)]"
15,"[('lewis', 0.036028243601322174), ('would', 0.034897103905677795), ('pit', 0.029482074081897736), ('russell', 0.025847986340522766), ('george', 0.023826375603675842), ('softs', 0.020432956516742706), ('strategy', 0.018796414136886597), ('hamilton', 0.017569007351994514), ('call', 0.01653413474559784), ('win', 0.015017925761640072), ('merc', 0.014945724979043007), ('medium', 0.014897591434419155), ('2', 0.014777258038520813), ('3', 0.013020381331443787), ('mercedes', 0.012731579132378101), ('tyre', 0.01261124573647976), ('chance', 0.012105843052268028), ('team', 0.009506627917289734), ('position', 0.009434427134692669), ('stop', 0.009265960194170475), ('pitted', 0.009025291539728642), ('made', 0.00873649027198553), ('behind', 0.008640223182737827), ('tire', 0.008158886805176735), ('right', 0.007918219082057476), ('could', 0.007653484120965004), ('going', 0.007460949942469597), ('one', 0.007292482070624828), ('safety', 0.0072684152983129025), ('pitting', 0.007124014664441347), ('track', 0.0066908118315041065), ('4', 0.00637794379144907), ('race', 0.006016941275447607), ('soft', 0.005968807730823755), ('sc', 0.0059206741861999035), ('restart', 0.005896607413887978), ('go', 0.005535605363547802), ('get', 0.005511538125574589), ('vsc', 0.00527087040245533), ('fresh', 0.005222736857831478)]"
16,"[('bull', 0.0995766818523407), ('rb', 0.09457243978977203), ('red', 0.08880484849214554), ('max', 0.036981310695409775), ('marko', 0.027566559612751007), ('rbr', 0.02247750572860241), ('checo', 0.019678523764014244), ('horner', 0.019508888944983482), ('redbull', 0.016370639204978943), ('would', 0.015352828428149223), ('alpha', 0.012977936305105686), ('win', 0.012553848326206207), ('tauri', 0.010518227703869343), ('also', 0.010433409363031387), ('championship', 0.010263774544000626), ('race', 0.009754869155585766), ('newey', 0.009754869155585766), ('need', 0.009585234336555004), ('helmut', 0.009076328948140144), ('tsunoda', 0.008652240969240665), ('go', 0.008397787809371948), ('verstappen', 0.00797369983047247), ('yuki', 0.007888882420957088), ('look', 0.007804065011441708), ('way', 0.007549612317234278), ('toto', 0.007040706928819418), ('give', 0.007040706928819418), ('albon', 0.00593807827681303), ('http', 0.0056836255826056), ('one', 0.005513990297913551), ('sense', 0.005089902319014072), ('good', 0.0050050849094986916), ('second', 0.0046658143401145935), ('come', 0.004241726826876402), ('wcc', 0.004241726826876402), ('adrian', 0.004156908951699734), ('christian', 0.004072091542184353), ('option', 0.003987274132668972), ('least', 0.003902456257492304), ('hand', 0.003817638847976923)]"
17,"[('wing', 0.0561034120619297), ('force', 0.04159432649612427), ('drag', 0.024989480152726173), ('drs', 0.021604027599096298), ('rear', 0.019508272409439087), ('downforce', 0.01886342465877533), ('lift', 0.017090091481804848), ('halo', 0.014833122491836548), ('speed', 0.014188273809850216), ('g', 0.013865849934518337), ('surface', 0.011608880944550037), ('car', 0.01112524513155222), ('ground', 0.010802820324897766), ('would', 0.010802820324897766), ('suspension', 0.010641608387231827), ('medical', 0.009674335829913616), ('impact', 0.009351911954581738), ('stall', 0.009190699085593224), ('straight', 0.009029487147927284), ('air', 0.008868275210261345), ('acceleration', 0.008545851334929466), ('high', 0.007739790715277195), ('crash', 0.007417366839945316), ('gravity', 0.006933730561286211), ('also', 0.006772518623620272), ('back', 0.006127670407295227), ('angle', 0.005644034128636122), ('since', 0.005482822190970182), ('com', 0.005482822190970182), ('stalling', 0.005321609787642956), ('hit', 0.005321609787642956), ('pressure', 0.0051603978499770164), ('airflow', 0.004999185912311077), ('element', 0.004999185912311077), ('normal', 0.004837973974645138), ('increase', 0.004837973974645138), ('45g', 0.0046767620369791985), ('frame', 0.0046767620369791985), ('induced', 0.0046767620369791985), ('centrifugal', 0.0046767620369791985)]"
18,"[('yuki', 0.041736967861652374), ('team', 0.036401428282260895), ('conspiracy', 0.034504346549510956), ('car', 0.02715315669775009), ('would', 0.02312185987830162), ('belt', 0.01968340016901493), ('issue', 0.01683777943253517), ('something', 0.01660064421594143), ('back', 0.015177832916378975), ('championship', 0.013517888262867928), ('help', 0.013280753046274185), ('theory', 0.0128064826130867), ('seatbelt', 0.010553698986768723), ('hannah', 0.010079428553581238), ('brawn', 0.010079428553581238), ('fia', 0.009960860945284367), ('loose', 0.009723726660013199), ('toto', 0.009723726660013199), ('lead', 0.009486591443419456), ('stopped', 0.009130888618528843), ('driver', 0.0088937534019351), ('mercedes', 0.008656618185341358), ('safety', 0.008656618185341358), ('think', 0.008300915360450745), ('seat', 0.007352374494075775), ('told', 0.007233806885778904), ('people', 0.007115239277482033), ('alpha', 0.007115239277482033), ('button', 0.00687810406088829), ('really', 0.00687810406088829), ('fine', 0.00687810406088829), ('retire', 0.006640969309955835), ('point', 0.006640969309955835), ('benetton', 0.006522401701658964), ('problem', 0.006285266485065222), ('without', 0.006048131268471479), ('already', 0.005929563660174608), ('merc', 0.005929563660174608), ('thought', 0.005573860835283995), ('tauri', 0.005573860835283995)]"
19,"[('alpine', 0.10993847250938416), ('piastri', 0.05359889939427376), ('mclaren', 0.033855970948934555), ('alonso', 0.03304106742143631), ('otmar', 0.020965656265616417), ('team', 0.0205952450633049), ('contract', 0.02048412151634693), ('driver', 0.01792828179895878), ('like', 0.016224389895796776), ('ocon', 0.015076114796102047), ('oscar', 0.013446304015815258), ('even', 0.011927617713809013), ('one', 0.010483013466000557), ('renault', 0.009594026021659374), ('rossi', 0.009075449779629707), ('crb', 0.008964326232671738), ('seat', 0.007297474425286055), ('management', 0.007223392371088266), ('legal', 0.007223392371088266), ('said', 0.007223392371088266), ('would', 0.007149310316890478), ('look', 0.006964104250073433), ('year', 0.006741857621818781), ('term', 0.00618624035269022), ('next', 0.005852870177477598), ('sign', 0.00566766457632184), ('told', 0.005408376455307007), ('situation', 0.005297252908349037), ('french', 0.005149088799953461), ('court', 0.005000924225896597), ('f1', 0.004926841706037521), ('better', 0.004926841706037521), ('also', 0.004852759651839733), ('put', 0.004778677131980658), ('could', 0.004704595077782869), ('statement', 0.004667554050683975), ('make', 0.004630513023585081), ('wanted', 0.004482348449528217), ('announcement', 0.004482348449528217), ('drive', 0.004445307422429323)]"
