red-bull,ferrari,17
red-bull,red-bull,1
red-bull,ferrari,10
ferrari,red-bull,4
red-bull,ferrari,4
red-bull,ferrari,14
red-bull,red-bull,11
ferrari,red-bull,227
ferrari,red-bull,19
red-bull,ferrari,1
red-bull,ferrari,3
red-bull,red-bull,4
red-bull,red-bull,6
red-bull,ferrari,143
red-bull,red-bull,7
red-bull,red-bull,2407
red-bull,red-bull,4
red-bull,red-bull,1
red-bull,ferrari,2
red-bull,red-bull,2
red-bull,red-bull,158
ferrari,red-bull,291
red-bull,red-bull,18
red-bull,ferrari,240
ferrari,ferrari,47
red-bull,ferrari,2
red-bull,ferrari,3
red-bull,ferrari,3
red-bull,ferrari,27
ferrari,red-bull,-15
red-bull,red-bull,3
red-bull,ferrari,2
ferrari,red-bull,11
ferrari,red-bull,14
red-bull,ferrari,10
red-bull,ferrari,19
red-bull,red-bull,6
red-bull,red-bull,68
red-bull,ferrari,3
red-bull,ferrari,33
ferrari,red-bull,1
red-bull,red-bull,13
red-bull,ferrari,465
red-bull,ferrari,135
red-bull,red-bull,3
red-bull,red-bull,5
red-bull,red-bull,82
ferrari,red-bull,32
red-bull,ferrari,2
ferrari,ferrari,167
red-bull,ferrari,148
red-bull,red-bull,1
red-bull,ferrari,6
red-bull,ferrari,182
ferrari,ferrari,2
red-bull,ferrari,18
red-bull,ferrari,24
red-bull,red-bull,2
red-bull,red-bull,8
ferrari,red-bull,108
red-bull,ferrari,14
red-bull,red-bull,778
ferrari,ferrari,309
red-bull,ferrari,1
red-bull,red-bull,118
red-bull,red-bull,22
red-bull,ferrari,53
red-bull,red-bull,1
red-bull,red-bull,930
red-bull,red-bull,11
ferrari,red-bull,1190
red-bull,ferrari,4
red-bull,red-bull,2
red-bull,ferrari,144
red-bull,red-bull,6
ferrari,ferrari,60
red-bull,red-bull,14
red-bull,red-bull,3
ferrari,red-bull,12
ferrari,ferrari,10
red-bull,ferrari,7
red-bull,red-bull,1
red-bull,red-bull,1
red-bull,ferrari,20
red-bull,ferrari,8
red-bull,red-bull,1348
red-bull,ferrari,5
ferrari,ferrari,26
ferrari,red-bull,3
red-bull,red-bull,0
ferrari,ferrari,5
red-bull,red-bull,1
red-bull,ferrari,53
ferrari,ferrari,12
red-bull,ferrari,243
red-bull,red-bull,1
red-bull,ferrari,33
red-bull,red-bull,560
red-bull,ferrari,38
ferrari,red-bull,9
red-bull,red-bull,3
red-bull,ferrari,10
ferrari,red-bull,4
red-bull,red-bull,3
red-bull,red-bull,3
red-bull,ferrari,185
red-bull,ferrari,3
red-bull,ferrari,2
red-bull,red-bull,695
red-bull,red-bull,9
red-bull,red-bull,7
red-bull,red-bull,3
ferrari,ferrari,0
red-bull,ferrari,37
red-bull,red-bull,107
red-bull,red-bull,11
red-bull,ferrari,465
red-bull,red-bull,1
red-bull,red-bull,209
red-bull,red-bull,1
red-bull,ferrari,2
ferrari,red-bull,5
red-bull,ferrari,11
ferrari,red-bull,46
red-bull,red-bull,244
red-bull,ferrari,3
red-bull,ferrari,148
red-bull,red-bull,204
red-bull,red-bull,16
red-bull,red-bull,10
red-bull,ferrari,10
red-bull,red-bull,178
ferrari,red-bull,89
red-bull,ferrari,3
red-bull,ferrari,18
red-bull,ferrari,3
red-bull,red-bull,3
red-bull,ferrari,3
red-bull,ferrari,9
red-bull,red-bull,28
red-bull,red-bull,8
red-bull,red-bull,21
ferrari,red-bull,21
red-bull,ferrari,66
red-bull,ferrari,3
red-bull,red-bull,15
red-bull,red-bull,8
red-bull,red-bull,40
red-bull,red-bull,1
red-bull,ferrari,6
red-bull,ferrari,14
red-bull,red-bull,-2
red-bull,ferrari,19
red-bull,ferrari,1
red-bull,red-bull,34
red-bull,ferrari,1
red-bull,red-bull,4
red-bull,red-bull,34
red-bull,red-bull,3
red-bull,ferrari,7
red-bull,red-bull,3
ferrari,red-bull,4
red-bull,red-bull,2
red-bull,ferrari,13
red-bull,red-bull,3
ferrari,red-bull,2
red-bull,ferrari,2
red-bull,ferrari,4
red-bull,ferrari,6
red-bull,ferrari,279
red-bull,red-bull,2
red-bull,red-bull,98
ferrari,ferrari,66
red-bull,red-bull,1
ferrari,red-bull,29
red-bull,red-bull,40
red-bull,ferrari,758
ferrari,red-bull,36
red-bull,ferrari,-6
red-bull,ferrari,1
red-bull,ferrari,17
red-bull,ferrari,7
ferrari,ferrari,16
red-bull,red-bull,5
red-bull,red-bull,3818
red-bull,ferrari,3
red-bull,red-bull,60
red-bull,red-bull,2
red-bull,ferrari,1
red-bull,ferrari,1
red-bull,ferrari,26
red-bull,red-bull,-4
red-bull,red-bull,5
red-bull,ferrari,39
red-bull,red-bull,6
red-bull,ferrari,1409
ferrari,ferrari,9
red-bull,ferrari,1
red-bull,ferrari,92
red-bull,ferrari,81
red-bull,ferrari,1
red-bull,ferrari,2
red-bull,ferrari,4
red-bull,ferrari,17
red-bull,ferrari,34
red-bull,red-bull,57
red-bull,red-bull,1
red-bull,ferrari,1
red-bull,red-bull,3
red-bull,red-bull,133
red-bull,ferrari,5
ferrari,ferrari,641
red-bull,red-bull,43
red-bull,ferrari,17
red-bull,red-bull,2
red-bull,ferrari,26
red-bull,red-bull,29
red-bull,ferrari,46
red-bull,red-bull,18
red-bull,red-bull,57
red-bull,red-bull,2
red-bull,ferrari,4
red-bull,red-bull,11
red-bull,red-bull,9
red-bull,ferrari,124
ferrari,red-bull,26
red-bull,red-bull,7
ferrari,red-bull,55
red-bull,ferrari,1
red-bull,ferrari,1
red-bull,ferrari,1
red-bull,red-bull,46
ferrari,ferrari,4
red-bull,ferrari,61
red-bull,red-bull,2
red-bull,red-bull,1
red-bull,red-bull,3
red-bull,ferrari,25
red-bull,red-bull,171
red-bull,red-bull,-12
red-bull,ferrari,2
ferrari,red-bull,11
red-bull,red-bull,3
ferrari,red-bull,19
red-bull,ferrari,5
red-bull,ferrari,880
red-bull,red-bull,27
red-bull,ferrari,6
ferrari,ferrari,34
red-bull,red-bull,2
red-bull,red-bull,6
red-bull,ferrari,3
red-bull,red-bull,150
red-bull,ferrari,39
red-bull,ferrari,2
red-bull,red-bull,2
red-bull,red-bull,5
red-bull,red-bull,3
red-bull,red-bull,7
red-bull,ferrari,7
red-bull,ferrari,372
red-bull,ferrari,2
red-bull,red-bull,1
red-bull,red-bull,283
red-bull,ferrari,10
red-bull,red-bull,25
red-bull,ferrari,1
red-bull,ferrari,21
red-bull,red-bull,43
red-bull,ferrari,2121
red-bull,ferrari,47
red-bull,red-bull,97
red-bull,ferrari,27
red-bull,ferrari,15
red-bull,ferrari,10
red-bull,ferrari,3
red-bull,ferrari,57
red-bull,ferrari,150
red-bull,red-bull,14
red-bull,red-bull,1
red-bull,red-bull,11
red-bull,red-bull,868
red-bull,red-bull,64
red-bull,ferrari,176
red-bull,red-bull,6
red-bull,ferrari,6
red-bull,red-bull,42
red-bull,ferrari,3
red-bull,red-bull,9
red-bull,red-bull,49
red-bull,red-bull,1
red-bull,ferrari,8
red-bull,red-bull,12
red-bull,red-bull,42
red-bull,ferrari,21
red-bull,red-bull,58
red-bull,ferrari,27
red-bull,red-bull,4
ferrari,red-bull,24
red-bull,ferrari,11
red-bull,ferrari,11
red-bull,red-bull,27
red-bull,ferrari,3
red-bull,ferrari,34
red-bull,red-bull,1
red-bull,red-bull,2
red-bull,ferrari,1127
red-bull,red-bull,65
red-bull,ferrari,1
red-bull,red-bull,332
red-bull,red-bull,170
red-bull,red-bull,8
red-bull,ferrari,2
red-bull,red-bull,2
red-bull,red-bull,5
red-bull,ferrari,13
red-bull,red-bull,19
red-bull,ferrari,1381
red-bull,red-bull,12
red-bull,ferrari,2
ferrari,ferrari,11
red-bull,red-bull,1
red-bull,red-bull,16
red-bull,red-bull,7
red-bull,red-bull,80
red-bull,ferrari,45
red-bull,ferrari,8
red-bull,ferrari,20
red-bull,red-bull,2
red-bull,ferrari,2
red-bull,red-bull,64
red-bull,ferrari,5
red-bull,ferrari,9
red-bull,red-bull,6
red-bull,ferrari,48
red-bull,red-bull,160
red-bull,ferrari,15
ferrari,red-bull,4
red-bull,ferrari,52
red-bull,red-bull,5
ferrari,ferrari,10
red-bull,ferrari,9
red-bull,ferrari,3
red-bull,red-bull,1
red-bull,ferrari,2
red-bull,ferrari,2
red-bull,red-bull,3
red-bull,red-bull,19
red-bull,ferrari,11
ferrari,red-bull,2
red-bull,red-bull,2
red-bull,red-bull,9
red-bull,red-bull,1
red-bull,ferrari,68
red-bull,red-bull,8
red-bull,red-bull,2
red-bull,red-bull,12
ferrari,ferrari,1
red-bull,red-bull,22
red-bull,red-bull,46
red-bull,ferrari,42
red-bull,ferrari,4
red-bull,red-bull,-1
red-bull,red-bull,7
red-bull,ferrari,24
red-bull,ferrari,3
red-bull,red-bull,1
red-bull,ferrari,0
red-bull,ferrari,2
red-bull,red-bull,73
red-bull,red-bull,3251
red-bull,ferrari,50
ferrari,ferrari,389
ferrari,ferrari,507
red-bull,ferrari,7
red-bull,red-bull,1
red-bull,ferrari,-3
red-bull,ferrari,1
red-bull,red-bull,1147
red-bull,ferrari,1709
red-bull,ferrari,1
red-bull,red-bull,41
red-bull,red-bull,61
red-bull,red-bull,7
red-bull,ferrari,3
red-bull,ferrari,293
red-bull,red-bull,54
red-bull,ferrari,30
red-bull,ferrari,71
red-bull,red-bull,2
red-bull,ferrari,17
red-bull,red-bull,352
red-bull,red-bull,36
red-bull,ferrari,167
red-bull,red-bull,31
ferrari,red-bull,0
red-bull,red-bull,2
red-bull,ferrari,59
red-bull,ferrari,3
red-bull,ferrari,347
red-bull,ferrari,158
red-bull,ferrari,1855
red-bull,red-bull,0
ferrari,red-bull,3
red-bull,ferrari,74
red-bull,ferrari,10
red-bull,ferrari,132
red-bull,ferrari,11
ferrari,ferrari,22
red-bull,ferrari,3
ferrari,ferrari,203
red-bull,red-bull,277
red-bull,ferrari,47
red-bull,ferrari,14
red-bull,ferrari,13
red-bull,red-bull,6
red-bull,red-bull,2
red-bull,ferrari,24
red-bull,ferrari,2
red-bull,ferrari,4
red-bull,ferrari,2
red-bull,red-bull,2
red-bull,red-bull,1378
red-bull,red-bull,2
red-bull,red-bull,2
ferrari,ferrari,2
red-bull,ferrari,762
red-bull,red-bull,3
red-bull,red-bull,99
red-bull,red-bull,8
red-bull,red-bull,3
red-bull,red-bull,194
red-bull,red-bull,139
red-bull,ferrari,4
ferrari,ferrari,54
red-bull,ferrari,92
red-bull,ferrari,26
red-bull,red-bull,73
red-bull,red-bull,2
red-bull,red-bull,6
red-bull,red-bull,16
red-bull,red-bull,11
red-bull,ferrari,166
red-bull,red-bull,5
red-bull,ferrari,13
red-bull,red-bull,10
red-bull,ferrari,6
red-bull,red-bull,1
red-bull,red-bull,15
red-bull,ferrari,4
red-bull,ferrari,8
red-bull,red-bull,156
red-bull,ferrari,3
ferrari,red-bull,1
ferrari,red-bull,5
red-bull,red-bull,3
red-bull,ferrari,109
ferrari,ferrari,29
red-bull,ferrari,2
red-bull,ferrari,1
red-bull,ferrari,9
red-bull,ferrari,12
red-bull,red-bull,44
red-bull,ferrari,5
red-bull,red-bull,12
red-bull,ferrari,1
ferrari,ferrari,5
ferrari,ferrari,7
red-bull,ferrari,445
red-bull,red-bull,0
ferrari,ferrari,15
red-bull,ferrari,19
red-bull,ferrari,7
red-bull,red-bull,1
red-bull,ferrari,5
red-bull,ferrari,83
red-bull,red-bull,15
red-bull,red-bull,73
red-bull,ferrari,4
red-bull,ferrari,5
red-bull,ferrari,2
ferrari,red-bull,7
red-bull,red-bull,5
ferrari,ferrari,3261
red-bull,ferrari,2
red-bull,ferrari,2
red-bull,ferrari,60
red-bull,ferrari,1
red-bull,red-bull,2
red-bull,ferrari,4
red-bull,red-bull,52
red-bull,red-bull,1
ferrari,red-bull,100
red-bull,red-bull,10
ferrari,red-bull,1
red-bull,ferrari,1736
ferrari,ferrari,3
red-bull,red-bull,11
red-bull,red-bull,84
red-bull,ferrari,2
red-bull,ferrari,1
red-bull,red-bull,11
red-bull,red-bull,6
red-bull,ferrari,20
ferrari,red-bull,5
red-bull,red-bull,16
red-bull,ferrari,173
red-bull,red-bull,9
ferrari,ferrari,3
red-bull,red-bull,14
red-bull,ferrari,2
red-bull,ferrari,38
red-bull,red-bull,87
ferrari,ferrari,5
red-bull,red-bull,2
red-bull,ferrari,30
red-bull,red-bull,6
red-bull,red-bull,56
red-bull,red-bull,5
red-bull,ferrari,3
red-bull,red-bull,26
red-bull,red-bull,-7
red-bull,red-bull,170
red-bull,ferrari,10
red-bull,red-bull,3
ferrari,red-bull,-1
red-bull,ferrari,27
red-bull,ferrari,72
red-bull,red-bull,12
red-bull,ferrari,20
red-bull,red-bull,55
red-bull,ferrari,2
ferrari,ferrari,18
ferrari,ferrari,353
ferrari,red-bull,8
red-bull,red-bull,31
red-bull,red-bull,1
red-bull,ferrari,7
red-bull,red-bull,6
red-bull,ferrari,2
red-bull,ferrari,17
red-bull,red-bull,110
red-bull,ferrari,39
red-bull,red-bull,4
red-bull,red-bull,16
red-bull,ferrari,7
red-bull,ferrari,2
red-bull,red-bull,5
red-bull,ferrari,1
red-bull,red-bull,1
red-bull,ferrari,7
red-bull,ferrari,5
ferrari,red-bull,2
red-bull,red-bull,8
red-bull,ferrari,-4
red-bull,ferrari,2
red-bull,ferrari,132
red-bull,ferrari,3
red-bull,ferrari,122
red-bull,ferrari,3
red-bull,red-bull,2
ferrari,ferrari,13
red-bull,red-bull,0
red-bull,red-bull,2
red-bull,red-bull,8
red-bull,ferrari,20
red-bull,ferrari,23
red-bull,ferrari,6
ferrari,red-bull,2
red-bull,red-bull,29
red-bull,ferrari,1
red-bull,red-bull,11
ferrari,ferrari,4
red-bull,red-bull,109
red-bull,ferrari,8
red-bull,red-bull,3
red-bull,red-bull,1
red-bull,red-bull,117
red-bull,red-bull,9
red-bull,red-bull,279
red-bull,ferrari,2
red-bull,red-bull,83
red-bull,ferrari,3
red-bull,ferrari,1
red-bull,ferrari,386
red-bull,red-bull,12
red-bull,ferrari,1895
red-bull,ferrari,4
red-bull,red-bull,1
ferrari,red-bull,205
ferrari,red-bull,786
red-bull,red-bull,5
red-bull,red-bull,1
red-bull,red-bull,1
ferrari,red-bull,6
red-bull,red-bull,4
red-bull,red-bull,1
red-bull,ferrari,56
red-bull,red-bull,8
red-bull,red-bull,4
red-bull,red-bull,47
red-bull,ferrari,155
red-bull,red-bull,2
red-bull,ferrari,1
red-bull,ferrari,8
red-bull,red-bull,5
red-bull,red-bull,1
red-bull,red-bull,7
red-bull,ferrari,1137
red-bull,red-bull,202
red-bull,ferrari,5
ferrari,ferrari,1
red-bull,ferrari,156
red-bull,red-bull,0
red-bull,ferrari,3
red-bull,ferrari,183
red-bull,red-bull,16
red-bull,red-bull,15
red-bull,ferrari,0
red-bull,ferrari,21
red-bull,red-bull,5
red-bull,red-bull,10
red-bull,red-bull,361
red-bull,red-bull,10
red-bull,ferrari,2
red-bull,red-bull,3
red-bull,ferrari,2
red-bull,red-bull,7
red-bull,red-bull,14
red-bull,ferrari,4
red-bull,red-bull,1
red-bull,ferrari,53
red-bull,red-bull,2
ferrari,red-bull,67
ferrari,red-bull,25
red-bull,red-bull,8
red-bull,ferrari,1
red-bull,red-bull,3
red-bull,red-bull,39
red-bull,ferrari,7
red-bull,ferrari,4450
red-bull,red-bull,164
red-bull,ferrari,10
red-bull,ferrari,1
red-bull,ferrari,39
red-bull,red-bull,1
red-bull,red-bull,3489
red-bull,ferrari,1102
red-bull,ferrari,6
red-bull,red-bull,32
red-bull,ferrari,234
red-bull,red-bull,16
red-bull,ferrari,5
red-bull,ferrari,1
red-bull,red-bull,136
red-bull,red-bull,40
red-bull,red-bull,6
red-bull,red-bull,185
red-bull,red-bull,56
red-bull,ferrari,1
red-bull,red-bull,1
ferrari,ferrari,11
red-bull,red-bull,3
red-bull,ferrari,25
red-bull,red-bull,6
red-bull,red-bull,12
red-bull,red-bull,29
ferrari,ferrari,-2
red-bull,red-bull,14
red-bull,red-bull,9
red-bull,red-bull,3
red-bull,ferrari,176
red-bull,red-bull,1
ferrari,ferrari,4
red-bull,ferrari,729
red-bull,ferrari,16
red-bull,red-bull,2
red-bull,red-bull,7
ferrari,ferrari,5
ferrari,red-bull,1
red-bull,ferrari,52
red-bull,red-bull,5
red-bull,red-bull,284
red-bull,red-bull,1
red-bull,red-bull,2
red-bull,ferrari,76
red-bull,red-bull,5
red-bull,red-bull,1
red-bull,ferrari,0
red-bull,red-bull,39
red-bull,ferrari,8
red-bull,red-bull,5
red-bull,ferrari,30
red-bull,red-bull,80
red-bull,ferrari,3
ferrari,ferrari,10
red-bull,red-bull,1
red-bull,ferrari,1
red-bull,ferrari,1635
ferrari,red-bull,2
red-bull,ferrari,88
ferrari,ferrari,179
red-bull,ferrari,1
red-bull,red-bull,57
red-bull,red-bull,2
ferrari,ferrari,2
red-bull,red-bull,115
red-bull,red-bull,2
red-bull,red-bull,5388
ferrari,ferrari,480
ferrari,ferrari,6
red-bull,red-bull,2
red-bull,red-bull,337
red-bull,red-bull,132
red-bull,red-bull,29
red-bull,red-bull,1
red-bull,red-bull,395
red-bull,ferrari,1
red-bull,red-bull,6
red-bull,ferrari,3
red-bull,ferrari,1
ferrari,ferrari,42
red-bull,ferrari,18
ferrari,ferrari,4
red-bull,ferrari,40
red-bull,ferrari,10
red-bull,red-bull,1
red-bull,red-bull,786
red-bull,red-bull,1
red-bull,red-bull,4
red-bull,red-bull,9
red-bull,ferrari,2
red-bull,ferrari,31
red-bull,ferrari,7
red-bull,ferrari,6
red-bull,red-bull,121
red-bull,ferrari,6736
red-bull,red-bull,3
ferrari,ferrari,209
red-bull,red-bull,90
red-bull,red-bull,1
red-bull,ferrari,706
red-bull,ferrari,3
red-bull,red-bull,16
red-bull,ferrari,1
red-bull,ferrari,-20
red-bull,red-bull,31
red-bull,ferrari,-1
red-bull,red-bull,19
red-bull,red-bull,2
red-bull,ferrari,2
red-bull,ferrari,34
red-bull,red-bull,3
red-bull,red-bull,330
red-bull,ferrari,2193
red-bull,red-bull,12
ferrari,red-bull,26
red-bull,ferrari,25
red-bull,red-bull,1
red-bull,red-bull,277
red-bull,red-bull,4
red-bull,red-bull,125
red-bull,ferrari,1
red-bull,red-bull,0
red-bull,red-bull,60
red-bull,red-bull,8
red-bull,red-bull,1
red-bull,red-bull,3
red-bull,red-bull,9
red-bull,ferrari,26
red-bull,red-bull,3
ferrari,ferrari,82
red-bull,red-bull,40
red-bull,ferrari,4
red-bull,red-bull,2
red-bull,ferrari,1
red-bull,red-bull,1
red-bull,ferrari,6
red-bull,ferrari,-1
red-bull,red-bull,3
red-bull,red-bull,117
red-bull,red-bull,17
red-bull,red-bull,120
red-bull,red-bull,2
red-bull,red-bull,8
ferrari,ferrari,173
red-bull,ferrari,1
red-bull,red-bull,10
red-bull,red-bull,2
red-bull,ferrari,850
red-bull,red-bull,145
red-bull,red-bull,6
red-bull,red-bull,13
red-bull,red-bull,2
red-bull,ferrari,6
red-bull,ferrari,76
red-bull,red-bull,19
ferrari,ferrari,2
red-bull,red-bull,1214
red-bull,red-bull,1191
red-bull,ferrari,2
ferrari,ferrari,18
red-bull,red-bull,9
red-bull,ferrari,1
red-bull,ferrari,3
red-bull,red-bull,1
ferrari,ferrari,1003
red-bull,ferrari,3
red-bull,ferrari,1
red-bull,red-bull,23
ferrari,ferrari,5
red-bull,red-bull,4
red-bull,ferrari,70
red-bull,red-bull,164
red-bull,ferrari,18
red-bull,ferrari,5
red-bull,red-bull,3
red-bull,red-bull,44
red-bull,red-bull,0
red-bull,ferrari,3
red-bull,ferrari,2
red-bull,ferrari,3
red-bull,ferrari,3
ferrari,red-bull,1
red-bull,ferrari,2
red-bull,ferrari,319
red-bull,red-bull,40
red-bull,red-bull,3
red-bull,ferrari,12
red-bull,ferrari,2
red-bull,red-bull,105
red-bull,red-bull,3
red-bull,red-bull,16
red-bull,ferrari,3
red-bull,ferrari,95
red-bull,red-bull,9
red-bull,ferrari,18
red-bull,red-bull,4
red-bull,ferrari,7
red-bull,ferrari,41
red-bull,red-bull,31
ferrari,ferrari,601
red-bull,red-bull,7
red-bull,ferrari,6
ferrari,ferrari,5
red-bull,red-bull,18
red-bull,ferrari,456
ferrari,ferrari,1
red-bull,red-bull,97
ferrari,red-bull,20
red-bull,red-bull,6
red-bull,red-bull,4
red-bull,ferrari,21
red-bull,ferrari,1
ferrari,red-bull,57
red-bull,red-bull,1
red-bull,red-bull,1
red-bull,red-bull,10
red-bull,red-bull,47
red-bull,ferrari,113
red-bull,red-bull,7
red-bull,red-bull,15
red-bull,red-bull,4
ferrari,ferrari,13
red-bull,red-bull,176
red-bull,ferrari,92
red-bull,ferrari,314
red-bull,red-bull,920
red-bull,ferrari,3
red-bull,ferrari,12
red-bull,ferrari,2
red-bull,ferrari,3
red-bull,ferrari,13
red-bull,red-bull,3
red-bull,ferrari,1
red-bull,ferrari,1
red-bull,red-bull,44
red-bull,ferrari,30
red-bull,ferrari,22
red-bull,red-bull,-9
