invincible,invincible,-1
invincible,90DayFiance,2
invincible,invincible,20
invincible,invincible,2
invincible,90DayFiance,1
90DayFiance,invincible,97
invincible,invincible,1
invincible,invincible,2
90DayFiance,90DayFiance,20
90DayFiance,90DayFiance,9
90DayFiance,invincible,1
invincible,90DayFiance,4
invincible,invincible,1
invincible,90DayFiance,2
90DayFiance,90DayFiance,8
invincible,90DayFiance,6
invincible,90DayFiance,3
90DayFiance,invincible,6
invincible,90DayFiance,6
invincible,invincible,2
90DayFiance,invincible,2
90DayFiance,invincible,5
90DayFiance,invincible,1278
invincible,90DayFiance,7
invincible,invincible,149
invincible,invincible,1
invincible,90DayFiance,3
invincible,invincible,9
invincible,90DayFiance,5
90DayFiance,90DayFiance,13
invincible,90DayFiance,0
90DayFiance,invincible,1
invincible,90DayFiance,21
90DayFiance,90DayFiance,2
invincible,invincible,6
invincible,90DayFiance,-1
invincible,invincible,4
invincible,invincible,4
90DayFiance,90DayFiance,-9
invincible,invincible,99
invincible,invincible,-2
invincible,90DayFiance,2
invincible,invincible,1
invincible,90DayFiance,6
90DayFiance,90DayFiance,2
90DayFiance,90DayFiance,4
invincible,90DayFiance,1
90DayFiance,invincible,2
invincible,90DayFiance,2
invincible,invincible,55
invincible,90DayFiance,3
90DayFiance,90DayFiance,-1
invincible,invincible,1
invincible,invincible,401
invincible,90DayFiance,11
90DayFiance,invincible,25
invincible,90DayFiance,29
invincible,invincible,1
90DayFiance,90DayFiance,3
invincible,90DayFiance,2
invincible,invincible,0
invincible,invincible,122
90DayFiance,invincible,2
90DayFiance,90DayFiance,3
90DayFiance,90DayFiance,2
90DayFiance,90DayFiance,17
90DayFiance,invincible,1
invincible,invincible,2
90DayFiance,90DayFiance,20
invincible,90DayFiance,1
invincible,invincible,1
90DayFiance,90DayFiance,3
90DayFiance,90DayFiance,1
invincible,90DayFiance,240
90DayFiance,90DayFiance,1
90DayFiance,90DayFiance,56
90DayFiance,invincible,1
90DayFiance,90DayFiance,9
invincible,invincible,1
invincible,90DayFiance,19
invincible,invincible,23
90DayFiance,90DayFiance,1
invincible,invincible,19
invincible,90DayFiance,9
90DayFiance,90DayFiance,15
invincible,90DayFiance,1
90DayFiance,90DayFiance,-3
90DayFiance,90DayFiance,0
invincible,90DayFiance,2
invincible,invincible,1
invincible,invincible,1
90DayFiance,90DayFiance,2
90DayFiance,90DayFiance,2
invincible,invincible,1
invincible,90DayFiance,1
invincible,invincible,13
invincible,90DayFiance,1
invincible,invincible,1
90DayFiance,invincible,13
invincible,90DayFiance,2
90DayFiance,90DayFiance,2
invincible,invincible,2
90DayFiance,90DayFiance,5
invincible,90DayFiance,12
90DayFiance,90DayFiance,6
90DayFiance,invincible,-12
90DayFiance,invincible,2
invincible,90DayFiance,0
invincible,90DayFiance,31
90DayFiance,90DayFiance,1
invincible,invincible,1
90DayFiance,90DayFiance,1
90DayFiance,invincible,26
invincible,90DayFiance,10
invincible,invincible,24
90DayFiance,invincible,4
90DayFiance,invincible,2
90DayFiance,90DayFiance,1
invincible,invincible,9
invincible,invincible,20
invincible,invincible,2
invincible,invincible,1
invincible,90DayFiance,1
invincible,invincible,5
90DayFiance,90DayFiance,2
90DayFiance,90DayFiance,26
invincible,90DayFiance,1
invincible,90DayFiance,2
invincible,invincible,1
