10,"[('ticket', 0.04763365164399147), ('flare', 0.042895473539829254), ('people', 0.03815729543566704), ('race', 0.037409164011478424), ('year', 0.02394276298582554), ('track', 0.022446496412158012), ('go', 0.017708318307995796), ('event', 0.016710806638002396), ('f1', 0.015962673351168633), ('hour', 0.015713294968008995), ('price', 0.015463917516171932), ('gp', 0.013468895107507706), ('stand', 0.012970139272511005), ('grandstand', 0.012471383437514305), ('monza', 0.011723250150680542)]"
11,"[('car', 0.07736518234014511), ('safety', 0.06643851846456528), ('race', 0.06163078173995018), ('rule', 0.048081714659929276), ('flag', 0.04502224922180176), ('lap', 0.04108864814043045), ('red', 0.03934038057923317), ('sc', 0.03496971353888512), ('dhabi', 0.024043042212724686), ('finish', 0.022294774651527405), ('abu', 0.02098357491195202), ('end', 0.02098357491195202), ('last', 0.01704997383058071), ('max', 0.012679306790232658), ('change', 0.012242239899933338)]"
12,"[('alpine', 0.1334066390991211), ('piastri', 0.08893891423940659), ('contract', 0.05894904211163521), ('driver', 0.038611091673374176), ('alonso', 0.034474559128284454), ('mclaren', 0.032406292855739594), ('oscar', 0.028269758448004723), ('seat', 0.026201492175459862), ('otmar', 0.026201492175459862), ('team', 0.01896255649626255), ('academy', 0.015515445731580257), ('rossi', 0.014826023951172829), ('williams', 0.014136601239442825), ('signed', 0.013791890814900398), ('legal', 0.013102468103170395)]"
13,"[('yuki', 0.1067291796207428), ('conspiracy', 0.05876639485359192), ('lewis', 0.038382213562726974), ('trophy', 0.03718314692378044), ('people', 0.03598407655954361), ('something', 0.033585939556360245), ('free', 0.028789659962058067), ('poncho', 0.028789659962058067), ('belt', 0.02519245073199272), ('spa', 0.02399338223040104), ('alphatauri', 0.02399338223040104), ('shipping', 0.020396173000335693), ('heineken', 0.01919710449874401), ('last', 0.016798963770270348), ('safety', 0.015599895268678665)]"
14,"[('mick', 0.11198145896196365), ('haas', 0.07984012365341187), ('hulk', 0.04925401136279106), ('gio', 0.041477881371974945), ('driver', 0.037330612540245056), ('giovinazzi', 0.02799925208091736), ('seat', 0.02488880045711994), ('hulkenberg', 0.022815166041254997), ('ferrari', 0.022815166041254997), ('kmag', 0.01970471441745758), ('schumacher', 0.01918630488216877), ('guy', 0.01918630488216877), ('name', 0.018149487674236298), ('season', 0.018149487674236298), ('formula', 0.018149487674236298)]"
15,"[('latifi', 0.10894421488046646), ('vries', 0.08892540633678436), ('de', 0.08566652983427048), ('nyck', 0.06750993430614471), ('williams', 0.04702557995915413), ('albon', 0.03585229068994522), ('seat', 0.02561010792851448), ('drive', 0.024678999558091164), ('next', 0.02281678467988968), ('f1', 0.022351231426000595), ('alex', 0.02188567817211151), ('point', 0.018161248415708542), ('singapore', 0.018161248415708542), ('dutch', 0.01676458679139614), ('glad', 0.014436819590628147)]"
16,"[('yellow', 0.09712483733892441), ('livery', 0.08325061947107315), ('ferrari', 0.06884278357028961), ('car', 0.04216160252690315), ('wing', 0.0357581190764904), ('red', 0.03202275186777115), ('look', 0.03042188286781311), ('rear', 0.02348477579653263), ('like', 0.021883904933929443), ('white', 0.019215786829590797), ('would', 0.018682163208723068), ('colour', 0.01708129234611988), ('full', 0.01708129234611988), ('special', 0.01654766872525215), ('black', 0.014946797862648964)]"
17,"[('porsche', 0.11818310618400574), ('bull', 0.0600750669836998), ('honda', 0.05811195820569992), ('red', 0.05654147267341614), ('engine', 0.0514373853802681), ('rb', 0.03691038116812706), ('team', 0.028665322810411453), ('want', 0.0247391015291214), ('f1', 0.01924239657819271), ('50', 0.014530934393405914), ('back', 0.014530934393405914), ('redbull', 0.01178258191794157), ('andretti', 0.01178258191794157), ('wanted', 0.01138995960354805), ('buy', 0.010604715906083584)]"
18,"[('team', 0.17545107007026672), ('andretti', 0.0978873148560524), ('f1', 0.042484626173973083), ('sport', 0.03786773607134819), ('money', 0.03232746571302414), ('new', 0.03140408918261528), ('fan', 0.023093687370419502), ('11th', 0.020323552191257477), ('manufacturer', 0.0175534188747406), ('audi', 0.0175534188747406), ('grid', 0.016630040481686592), ('haas', 0.015706662088632584), ('williams', 0.015706662088632584), ('joining', 0.014783283695578575), ('prize', 0.014783283695578575)]"
19,"[('de', 0.05284930020570755), ('name', 0.05027191340923309), ('british', 0.04382844641804695), ('queen', 0.04125106334686279), ('people', 0.04125106334686279), ('vries', 0.037384986877441406), ('sir', 0.03223021328449249), ('royal', 0.03223021328449249), ('latifi', 0.030941519886255264), ('dutch', 0.028364134952425957), ('nick', 0.02707544155418873), ('officer', 0.020631976425647736), ('george', 0.019343283027410507), ('family', 0.01805458962917328), ('canada', 0.01676589623093605)]"
