inzlf8j,monza,watching steiner,21,1662905069.0
inzo5v7,monza,could avoided wait one fucking lap call safety car 2 gps row looked,20,1662906150.0
inzo9bi,monza,maybe happened occasion past crofty firing shot,19,1662906186.0
inzoc3r,monza,mean max would still still bore,20,1662906213.0
inzqj44,monza,leclerc disappointed cool room fake interest,21,1662907057.0
inzra1j,monza,would loved unedited version podium ceremony,21,1662907347.0
inzs5rz,monza,another sensational performance max red bull stopping win every race remainder season hard see anything else point,22,1662907686.0
inzbd1s,monza,audio people also die week never good atrocious,20,1662900438.0
inzepyw,monza,italian mob tried sabotage max car accidentally got checo instead,18,1662902169.0
inzf05g,monza,sainz plan overtaking today sainz yes,20,1662902310.0
inzi0bp,monza,ferrari decided let driver call strategy like move,20,1662903635.0
inzi7m8,monza,odds verstappen pass leclerc track ferrari bring second stop drop behind russel something,18,1662903723.0
inzo2s5,monza,michael masi sends regard,19,1662906118.0
inzo304,monza,fuck crane near race track car moving,18,1662906120.0
inzo3kd,monza,somewhere world masi hit great putt smiled smug satisfaction,19,1662906126.0
inzo63u,monza,9th de vries think drove drive next year,19,1662906153.0
inzds7g,monza,george went wide,19,1662901692.0
inze8f3,monza,fact devries loose place yet pretty damn good,17,1662901922.0
inzey47,monza,sainz definitely driving well obviously ferrari quicker every car still solid,20,1662902282.0
inzgb3d,monza,turn steering wheel much turning,18,1662902885.0
inzhvqj,monza,nick actually score point today would pencil standing board push latifi 21st 20 driver championship lol,18,1662903576.0
inzih5u,monza,oh mclaren dick,19,1662903841.0
inzkp71,monza,leclerc even strategy fuckup early pit completely reasonable option gap verstappen still higher leclerc left pit rb verstappen combo better,18,1662904774.0
inzm717,monza,sylvester stallone contractually obligated come monza else ferrari send cease desist called italian stallion,18,1662905386.0
inznn0w,monza,peak italian efficiency,18,1662905953.0
inzo5l1,monza,latifi bad gonna 3rd williams standing getting beat guy 1 practice session prepare race,19,1662906147.0
inzo5mp,monza,called racing toto,18,1662906148.0
inzoaz6,monza,bring back massi went car racing,18,1662906202.0
inzod83,monza,latifi 21st 20 wdc,17,1662906225.0
inzolcc,monza,happened called motor race,18,1662906304.0
inzot0n,monza,de vries done one race latifi season,18,1662906383.0
inzoufv,monza,one thing nascar get right race finish sc 2 lap racing added end sc keep thing interesting,18,1662906397.0
inzpmn0,monza,someone photoshop vodka label bottle leclerc drinking,18,1662906713.0
inzputd,monza,turned crowd mics right,19,1662906805.0
inzqaro,monza,great performance mick unfortunately door williams probably closed de vries strong debut,20,1662906972.0
inzthfa,monza,toto struggling maintain straight face,17,1662908197.0
inzbt3p,monza,karun chandok read racist document written confederate official 1862 still sound relaxing,54,1662900660.0
inzfvxe,monza,ferrari get blamed shit strategy blame driver decision lmao,18,1662902699.0
inzgh1j,monza,ricciardo choo choo motherfucker,17,1662902956.0
inzibow,monza,hamilton loved know lol,16,1662903774.0
inzihyy,monza,danny ric uh one tenth sure mate clearly precise,17,1662903850.0
inzii5s,monza,mclaren shit,18,1662903852.0
inzil60,monza,fuck sake mclaren let race,16,1662903887.0
inzipbh,monza,daniel shut radio,16,1662903934.0
inzj3wn,monza,sainz strategist,17,1662904103.0
inzl24u,monza,embarrassing statistic latifi de vries staying point longer latifi whole season,17,1662904921.0
inzl9fi,monza,mick beautiful little shit,16,1662905005.0
inzlgal,monza,holy shit amazing car control mick,16,1662905081.0
inzn2r7,monza,rb fan red flag standing restart,17,1662905739.0
inznlg3,monza,enough monza token move car,16,1662905936.0
inznngr,monza,de vries brake next moving tractor disgrace,18,1662905958.0
