0,0,44
1,0,0
0,1,3
0,0,20
1,1,2
1,1,166
0,1,52
0,1,2
0,0,197
0,1,1
1,1,2
0,0,1
0,1,133
1,1,1
0,0,47
1,0,663
0,1,3
0,1,15
0,1,24
0,1,3
0,1,3
1,1,5
1,1,6
0,1,3
0,1,6
0,0,1
0,0,1
1,0,4
1,1,-7
0,1,144
0,0,1
1,0,1
0,0,1
0,0,16
0,0,1
1,1,10
0,0,1
1,1,5
0,1,3
0,0,39
0,1,14
0,0,2
0,1,12
0,1,2
0,0,1
0,0,73
0,0,10
1,0,3
0,1,1
0,1,6
0,0,2
1,1,1
0,0,30
0,1,1
1,1,18
0,1,2
0,1,2
0,0,1021
1,0,1
1,1,1
1,1,1
1,0,22
1,1,4
0,1,5
0,0,1
0,0,2
0,0,194
0,1,14
1,0,107
1,1,2
0,0,1
0,1,4
0,0,1
0,1,2
0,0,8
0,1,6
1,1,445
1,1,10
1,0,2
1,0,3
0,0,10
0,0,12
0,0,2
0,0,54
0,1,2
0,0,8
1,1,2
0,0,2
1,1,3
1,1,6
0,1,38
0,0,1
1,0,4
1,0,2
1,0,56
0,0,2
0,0,3
0,1,156
0,1,101
0,1,1
0,1,1
1,1,4
0,1,2
0,0,86
0,0,1
1,1,24
1,1,1
0,0,1
1,1,47
1,1,1
1,1,2
0,1,2
0,1,27
1,1,2
0,0,434
1,0,1
0,0,13
0,0,622
1,1,60
1,1,4
1,0,3
0,0,4
1,0,4
1,0,76
0,0,7
1,0,3
0,0,3
1,0,4
0,0,1
1,1,21
0,0,5
0,0,76
0,0,6
0,0,127
1,1,3
0,1,2
0,1,2
0,1,12
0,0,3
0,1,5
0,1,10
0,1,1
1,1,3
0,0,10
0,1,11
0,1,43
0,1,4
0,0,3
1,1,13
0,1,26
0,1,2
0,0,22
0,1,4
1,1,1
1,0,1
1,1,24
0,1,246
1,1,10
1,1,11
0,0,22
0,1,1
0,0,1
0,0,1
0,1,1
0,0,8
0,1,2
0,1,190
1,1,2
0,0,1448
0,0,167
0,1,2
0,0,34
0,0,5
0,0,11
0,1,29
0,0,444
0,0,6710
0,1,14
0,0,24
0,0,218
0,1,44
0,0,1090
0,1,10
0,0,12
0,0,53
0,0,3
0,1,3
1,0,2
1,1,4
0,0,2
0,1,5
1,1,38
1,1,11
1,1,1
1,1,2
0,0,1
0,1,2
0,0,30
1,0,7
0,1,9
0,0,1
1,0,15
0,0,1572
0,0,1
1,0,1083
0,0,104
0,0,31
0,0,1
0,1,1
0,1,73
0,1,1
0,0,1
0,0,2
1,1,1
0,0,64
0,1,1
0,0,29
1,1,99
0,1,3
1,1,7
0,1,3
0,1,161
1,1,3
0,1,6
0,0,3
1,1,3
1,0,2
0,1,1
0,1,3
1,1,9
0,0,1
0,1,45
0,1,3
0,1,19
0,1,2
1,0,14
0,0,20
1,1,2
0,0,3
1,1,20
0,0,1
0,0,35
0,0,1
1,0,2
0,0,-5
0,0,1
0,0,3
0,1,6
1,1,0
0,0,9
1,1,6
1,1,66
0,0,14
0,0,1
0,0,41
1,0,5
1,0,1
0,0,246
0,0,3
0,0,4
0,0,1
1,1,3
1,1,7
1,1,132
0,0,3
0,1,8
0,1,4
0,1,21
0,0,7
0,0,1
0,1,3
0,1,242
0,0,20
0,1,2
0,1,1
0,1,60
0,1,7
0,1,1
1,0,14
0,0,8
0,0,1
0,1,3
0,1,8
0,1,32
0,0,15
1,1,172
1,1,2
0,0,75
0,0,2
0,0,2
0,1,2
0,1,19
1,0,1
1,1,1
0,0,6
0,0,14
0,0,3
0,1,1
0,1,7
0,0,2
0,0,1
0,0,3
1,1,21
0,0,3
1,1,8
0,1,4
1,1,2
1,1,1
1,1,147
1,1,17
0,1,3
0,1,7
0,0,5
1,1,104
1,1,8
0,0,62
0,1,4
0,0,86
0,1,9
0,0,1
1,1,10
1,1,29
0,0,2
1,0,1
0,0,3
0,0,15
1,0,3
1,1,3
0,0,7
0,1,68
0,1,1
0,1,3
0,1,21
1,1,37
1,1,3
1,0,1
0,0,2
0,1,3
0,1,7
0,1,9
1,1,8
0,0,2
0,0,2
0,1,2
0,1,2
1,0,1
0,1,2
0,1,256
0,0,985
0,0,1
0,0,6
0,0,1167
1,1,5
0,1,0
1,0,4
0,0,209
0,1,9
0,1,7
1,0,47
0,1,38
1,1,51
0,0,1
0,1,1
0,0,1
0,1,10
0,0,1
1,1,14
0,0,3
0,0,32
0,0,222
0,0,2
0,0,112
0,0,1
1,0,80
0,0,68
0,1,4
0,0,21
0,0,2
0,1,1
0,0,3
0,1,3
0,1,31
1,1,1
0,0,854
0,0,8
0,0,29
1,1,38
0,1,-1
0,1,1
0,1,2
0,0,1
0,1,33
0,0,49
1,1,29
0,0,257
0,1,103
1,0,1
0,0,64
0,0,51
1,1,2
0,1,1
0,1,4
0,0,2
0,1,3
0,1,1
0,0,1
0,1,3
0,1,54
0,1,5
0,0,20
1,0,151
0,0,1
0,0,1
1,1,2
1,0,3
0,0,16
0,0,19
1,1,13
0,0,430
0,1,1
0,0,128
0,1,0
0,0,20
0,1,6
0,0,2
1,0,6
0,1,2
0,0,1
0,0,4
0,1,35
1,1,1
0,1,1
0,1,4
0,1,9
1,0,15
0,0,5
1,1,2
0,1,8
0,0,3
0,0,66
0,0,1
1,1,2
0,0,2
0,0,41
1,0,1
0,0,5
0,0,32
0,0,101
1,1,13
0,1,106
0,1,1
1,0,193
0,1,8
1,0,3
0,1,47
0,0,8
1,0,53
0,0,5
0,0,5
0,0,18
0,1,14
1,0,-8
0,0,40
1,1,2
0,1,2
0,1,24
0,0,9271
1,1,1
0,0,166
0,1,2
0,0,1
0,0,73
1,1,2
0,0,2
1,1,2
0,0,1
0,1,4
0,1,27
0,1,3
0,1,1
1,1,1
0,0,19
1,1,-2
1,0,2
1,1,15
0,1,2
0,0,8
0,0,141
0,0,59
0,0,0
0,0,4
0,0,1
0,0,4
0,1,12
0,1,2
1,1,10
1,0,8
1,1,1
1,0,22
0,0,3
0,0,10
0,0,10
1,1,9
0,0,26
0,0,4
1,1,1
0,0,42
1,0,123
0,1,4
1,0,1
0,1,6
1,1,6
0,1,2
0,1,2
0,0,12
0,0,1423
0,0,105
1,0,9
0,1,4
0,1,457
0,0,2
1,0,14
0,0,21
1,1,0
0,1,24
0,1,6
0,0,16
0,0,9
0,0,56
0,1,29
0,0,344
1,1,1
0,1,3
0,0,4
0,0,11
0,0,7
0,1,3
1,1,171
0,0,3
0,0,12
1,1,12
1,0,2
0,1,4
0,1,13
0,1,1
0,0,6
1,0,1
0,0,4
0,1,1
0,1,7
0,1,21
0,1,11
1,0,1
1,1,5
0,1,18
1,1,11
0,0,2
0,0,6
1,0,2
1,0,4
1,0,3
0,0,0
1,1,6
0,0,2
0,0,2
0,0,64
0,1,-5
0,1,60
0,0,2
0,1,4
0,0,5
0,1,9
0,1,63
0,1,12
0,0,230
1,0,9
1,1,156
0,0,2
1,1,2
0,0,3
0,1,3
0,0,3
0,0,43
0,0,6
0,1,109
0,1,-1
1,0,8
0,0,2
0,1,10
0,1,6
1,0,1
1,1,10
0,0,11
0,0,2
0,1,16
0,0,902
0,1,803
1,0,29
0,1,-3
0,1,3
0,0,47
0,1,5
0,1,1
0,0,6
0,1,1
0,1,8
0,0,230
0,0,16
0,1,7
0,1,6
0,1,115
1,1,37
0,1,1
0,1,193
0,0,7
0,0,3
1,1,3
0,1,4
0,1,7
0,1,7
0,0,36
0,1,7
0,1,78
1,0,2038
0,1,19
0,1,39
1,0,900
0,1,1
0,1,10
1,0,7
1,0,3
1,0,87
1,0,1
1,1,1
1,1,17
0,1,1
0,1,1
0,1,63
0,0,9
0,1,35
0,0,1
0,0,34
0,1,1
0,1,3
0,0,5
0,0,2
0,1,3
0,0,64
0,0,1328
0,1,20
0,1,-6
0,0,3
1,1,2
0,1,3
1,1,1
1,1,5
0,0,30
1,0,5
1,1,37
0,0,15
0,0,39
1,1,2
1,0,11
0,0,2
0,0,51
0,0,5
0,1,54
0,0,15
0,1,16
0,0,13
0,0,16
0,0,125
1,1,125
